Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.7900555,-2.86,a1,tar
3,2.7900555,-2.83,u0,tar
3,2.7900555,-1.52,1.77,tar
3,2.7900555,-1.52,u0,tar
3,2.7900555,-1.42,-0.201,tar
3,2.7900555,-1.10,0.644,tar
3,2.7900555,-1.08,0.745,tar
3,2.7900555,-0.982,-0.201,tar
3,2.7900555,-0.837,u0,tar
3,2.7900555,-0.823,-0.409,tar
3,2.7900555,-0.823,u0,tar
3,2.7900555,-0.810,-0.201,tar
3,2.7900555,-0.717,1.10,tar
3,2.7900555,-0.607,a1,tar
3,2.7900555,-0.607,u0,tar
3,2.7900555,-0.408,-1.12,tar
3,2.7900555,-0.408,a0,tar
3,2.7900555,-0.408,tar,tar
3,2.7900555,-0.354,-1.82,tar
3,2.7900555,-0.316,-0.00776,tar
3,2.7900555,-0.304,0.468,tar
3,2.7900555,-0.187,u0,tar
3,2.7900555,-0.187,-0.679,tar
3,2.7900555,-0.0889,u0,tar
3,2.7900555,-0.0499,-1.67,tar
3,2.7900555,-0.0498,-0.628,tar
3,2.7900555,-0.0333,-0.201,tar
3,2.7900555,-0.0182,1.29,tar
3,2.7900555,0.0318,u0,tar
3,2.7900555,0.0452,-0.0532,tar
3,2.7900555,0.0596,u0,tar
3,2.7900555,0.113,-0.176,tar
3,2.7900555,0.141,0.992,tar
3,2.7900555,0.149,y0,tar
3,2.7900555,0.339,a1,tar
3,2.7900555,0.441,1.33,tar
3,2.7900555,0.824,-0.140,tar
3,2.7900555,0.957,tar,tar
3,2.7900555,1.22,-1.89,tar
3,2.7900555,1.79,1.12,tar
3,2.7900555,1.88,-1.45,tar
3,2.7900555,1.88,y1,tar
3,2.7900555,1.99,0.575,tar
3,2.7900555,3.52,u0,tar
3,2.7900555,y0,-0.201,tar
3,2.7900555,y0,-0.102,tar
3,2.7900555,y0,0.588,tar
3,2.7900555,y0,1.06,tar
3,2.7900555,y0,y1,tar
3,2.7900555,y0,u0,tar
3,2.7900555,y1,5.59e-5,tar
3,2.7900555,y1,1.02,tar
3,2.7900555,y1,3.12,tar
3,2.7900555,y1,a1,tar
3,2.7900555,a0,-3.65,tar
3,2.7900555,a0,-0.486,tar
3,2.7900555,a0,-0.439,tar
3,2.7900555,a0,-0.348,tar
3,2.7900555,a0,0.00162,tar
3,2.7900555,a0,0.901,tar
3,2.7900555,a0,y1,tar
3,2.7900555,a0,a0,tar
3,2.7900555,a0,u0,tar
3,2.7900555,u0,-1.04,tar
3,2.7900555,u0,-0.201,tar
3,2.7900555,u0,0.0280,tar
3,2.7900555,u0,0.313,tar
3,2.7900555,u0,a1,tar
3,2.7900555,tar,0.946,tar
3,2.7900555,tar,u0,tar
3,2.7900555,tar,tar,tar
5,1.5665817,tar - u0,a0,a0
5,1.5665817,tar - u0,a1,a0
5,1.5665817,tar - u0,u0,a0
5,1.5665817,tar - u0,tar,a0
7,0.20480485,-a0 + y1,-0.552,-a0 + tar
7,0.20480485,-a0 + y1,u0,-a0 + tar
9,0.19349124,-1.38*a0 + y1,tar,-a0 + tar
11,0.1797872,-2.6*a0 + 1.88*y1,a1,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,-1.28,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,-0.687,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,-0.269,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,-0.143,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,-0.140,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,-0.134,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,0.452,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,0.491,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,1.47,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,1.58,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,1.77,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,2.89,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,y0,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,y1,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,a0,-a0 + tar
13,0.17959763,-2.36*a0 + 1.88*y1,u0,-a0 + tar
15,0.17951013,-2.38*a0 + y1,-0.556,-1.85*a0 + tar
15,0.17951013,-2.38*a0 + y1,a1,-1.85*a0 + tar
15,0.17951013,-2.38*a0 + y1,u0,-1.85*a0 + tar
19,0.17950082,-2.52*a0 + 2*y1 - 0.00483,a1*u0**2,-a0 + tar
21,0.17948382,-2.52*a0 + 2*y1,a0*a1**2*u0**2,-a0 + tar
25,0.17947349,-2.52*a0 + y1 + 0.00253,0.0516*a1*u0 + a1,-2*a0 + tar
