Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,3.9247153,-3.41,1.13,r
3,3.9247153,-2.90,r,r
3,3.9247153,-2.53,a1,r
3,3.9247153,-1.35,0.696,r
3,3.9247153,-1.16,0.696,r
3,3.9247153,-1.10,0.704,r
3,3.9247153,-1.04,-1.41,r
3,3.9247153,-0.976,0.592,r
3,3.9247153,-0.805,r,r
3,3.9247153,-0.794,y0,r
3,3.9247153,-0.766,a1,r
3,3.9247153,-0.605,-0.0631,r
3,3.9247153,-0.605,0.200,r
3,3.9247153,-0.583,0.866,r
3,3.9247153,-0.581,-2.72,r
3,3.9247153,-0.455,a1,r
3,3.9247153,-0.303,a1,r
3,3.9247153,-0.213,-2.33,r
3,3.9247153,-0.102,y0,r
3,3.9247153,0.0452,-0.0532,r
3,3.9247153,0.0799,a0,r
3,3.9247153,0.199,-0.0310,r
3,3.9247153,0.199,r,r
3,3.9247153,0.216,-1.63,r
3,3.9247153,0.216,0.325,r
3,3.9247153,0.216,y0,r
3,3.9247153,0.216,r,r
3,3.9247153,0.218,0.157,r
3,3.9247153,0.358,y0,r
3,3.9247153,0.483,u0,r
3,3.9247153,0.530,a0,r
3,3.9247153,0.543,-0.297,r
3,3.9247153,0.611,0.346,r
3,3.9247153,0.671,u0,r
3,3.9247153,1.03,1.12,r
3,3.9247153,1.30,a0,r
3,3.9247153,1.33,u0,r
3,3.9247153,1.69,-1.22,r
3,3.9247153,1.78,0.696,r
3,3.9247153,2.11,-0.784,r
3,3.9247153,2.20,a1,r
3,3.9247153,y0,0.363,r
3,3.9247153,y1,-1.51,r
3,3.9247153,y1,-0.470,r
3,3.9247153,y1,0.106,r
3,3.9247153,y1,0.243,r
3,3.9247153,y1,y1,r
3,3.9247153,a0,-0.385,r
3,3.9247153,a0,y0,r
3,3.9247153,a0,r,r
3,3.9247153,a1,-0.401,r
3,3.9247153,a1,1.82,r
3,3.9247153,a1,a0,r
3,3.9247153,a1,a1,r
3,3.9247153,a1,r,r
3,3.9247153,u0,-0.415,r
3,3.9247153,u0,-0.150,r
3,3.9247153,u0,-0.113,r
3,3.9247153,u0,0.529,r
3,3.9247153,u0,0.642,r
3,3.9247153,u0,2.02,r
3,3.9247153,u0,y0,r
3,3.9247153,u0,a0,r
3,3.9247153,u0,r,r
3,3.9247153,r,-1.32,r
3,3.9247153,r,0.229,r
3,3.9247153,r,0.295,r
3,3.9247153,r,a0,r
5,3.3223152,-1.14,0.696,0.516*r
7,2.9999986,0.216,y1,0.103*a0*r
9,1.3541988,-0.853,-a1 + y1,-a1 + r + 0.332
9,1.3541988,0.312,-a1 + y1,-a1 + r + 0.332
11,1.3232837,-r + u0 + 2*y1,0.721,-a0 - 0.378
13,1.2998073,-r + u0 + 2*y1,u0,-2*a0 + r
15,0.34830412,-2*a1 + u0 + y1,r,-0.478*a0 + r - 0.0665
17,0.247845,-a1 + 2*u0 + y1,r,-1.48*a0 + r - 0.298
19,0.24766494,-1.38*a0 + a1 + y1 + 0.975,-0.896*r,-2*a0 + r - 0.103
21,0.22664721,-1.38*a0 + a1 + u0 + 2*y1,-1.46*r,-2*a0 + r + 1.55
23,0.21081077,-1.38*a0 + 2*a1 + u0 + 2*y1,-0.896*r,-a0 + r - 0.426
27,0.20141633,-a0 - a1 + u0 + 2*y1 + 0.464,2*r,-0.896*a0 + 0.896*r + 0.0832
