Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,5.5523367,1.36,y1,0.321
5,4.211718,-0.876,u0,-a1 + r
7,3.9589212,2.09,0.432 - a1,a1*r
9,0.7264778,a1,2.48*u0 - 2.48*y0,-a1 + r
11,0.39736095,-a0 + y0 + 0.347,0.571,a0 + r - 0.385
13,0.32960197,-4.12*a0 + 4.12*y0 - 4.12*y1 - 0.426,y1,a0 + r
13,0.32960197,-4.12*a0 + 4.12*y0 - 4.12*y1 - 0.426,r,a0 + r
15,0.3027477,-4.12*a0 + 4.12*y0 - 3.12*y1 - 0.426,-1.93,a0 + r
15,0.3027477,-4.12*a0 + 4.12*y0 - 3.12*y1 - 0.426,-0.934,a0 + r
15,0.3027477,-4.12*a0 + 4.12*y0 - 3.12*y1 - 0.426,3.03,a0 + r
15,0.3027477,-4.12*a0 + 4.12*y0 - 3.12*y1 - 0.426,3.40,a0 + r
15,0.3027477,-4.12*a0 + 4.12*y0 - 3.12*y1 - 0.426,y1,a0 + r
15,0.3027477,-4.12*a0 + 4.12*y0 - 3.12*y1 - 0.426,r,a0 + r
17,0.29079014,-4.12*a0 + 4.12*y0 - 2.12*y1 - 0.426,-0.605,a0 + r
19,0.28214356,-4.12*a0 + 4.12*y0 - 2.12*y1 - 0.153,-0.618,a0 + r
21,0.281339,-4.12*a0 + 4.12*y0 - 2.12*y1 - 0.426,y0,a0 + r + 0.0876
21,0.281339,-4.12*a0 + 4.12*y0 - 2.12*y1 - 0.426,r,a0 + r + 0.0876
29,0.28113216,-4.12*a0 + 4.12*y0 - 2.12*y1 - 0.153,-a0 + u0 - 2*y0,a0 + 0.931*r
