Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,4.7068443,0.0340,-0.396,a0
5,1.9819416,-4.88,-u0 + y0,a1
5,1.9819416,-1.24,-u0 + y0,a1
5,1.9819416,-1.10,-u0 + y0,a1
5,1.9819416,-0.725,-u0 + y0,a1
5,1.9819416,-0.599,-u0 + y0,a1
5,1.9819416,-0.487,-u0 + y0,a1
5,1.9819416,-0.426,-u0 + y0,a1
5,1.9819416,-0.331,-u0 + y0,a1
5,1.9819416,0.152,-u0 + y0,a1
5,1.9819416,0.482,-u0 + y0,a1
5,1.9819416,0.596,-u0 + y0,a1
5,1.9819416,1.01,-u0 + y0,a1
5,1.9819416,1.14,-u0 + y0,a1
5,1.9819416,1.26,-u0 + y0,a1
5,1.9819416,1.30,-u0 + y0,a1
5,1.9819416,y0,-a1 + y0,a1
5,1.9819416,y0,-u0 + y0,a1
5,1.9819416,y1,-u0 + y0,a1
5,1.9819416,a0,-u0 + y0,a1
5,1.9819416,a1,-u0 + y0,a1
5,1.9819416,u0,-u0 + y0,a1
5,1.9819416,r,-u0 + y0,a1
5,1.9819416,-a0 + y0,-0.0347,a0
5,1.9819416,-a0 + y0,0.265,a0
5,1.9819416,-a0 + y0,0.331,a0
5,1.9819416,-a0 + y0,y0,a0
5,1.9819416,-a0 + y0,a0,a0
5,1.9819416,-a0 + y0,a1,a0
7,1.3243897,-2.29,-u0 + y0,2*a1
7,1.3243897,-1.10,-u0 + y0,2*a1
7,1.3243897,-1.07,-u0 + y0,2*a1
7,1.3243897,-1.04,-u0 + y0,2*a1
7,1.3243897,-0.0355,-u0 + y0,2*a1
7,1.3243897,-0.0119,-u0 + y0,2*a1
7,1.3243897,0.717,-u0 + y0,2*a1
7,1.3243897,0.935,-u0 + y0,2*a1
7,1.3243897,1.01,-u0 + y0,2*a1
7,1.3243897,1.14,-u0 + y0,2*a1
7,1.3243897,2.02,-u0 + y0,2*a1
7,1.3243897,y0,-u0 + y0,2*a1
7,1.3243897,y1,-u0 + y0,2*a1
7,1.3243897,a0,-u0 + y0,2*a1
7,1.3243897,u0,-u0 + y0,2*a1
9,0.86453646,a0,-u0 + y0,2*a1 + 0.735
11,0.86384076,u0,-2*u0 + 2*y0,a1 + 0.692
13,0.8637539,-1.21,-u0 + y0,2*a1 + 0.697
13,0.8637539,-0.904,-u0 + y0,2*a1 + 0.697
13,0.8637539,-0.520,-u0 + y0,2*a1 + 0.697
13,0.8637539,-0.444,-u0 + y0,2*a1 + 0.697
13,0.8637539,-0.429,-u0 + y0,2*a1 + 0.697
13,0.8637539,-0.293,-u0 + y0,2*a1 + 0.697
13,0.8637539,-0.0977,-u0 + y0,2*a1 + 0.697
13,0.8637539,0.113,-u0 + y0,2*a1 + 0.697
13,0.8637539,0.152,-u0 + y0,2*a1 + 0.697
13,0.8637539,0.334,-u0 + y0,2*a1 + 0.697
13,0.8637539,0.354,-u0 + y0,2*a1 + 0.697
13,0.8637539,1.29,-u0 + y0,2*a1 + 0.697
13,0.8637539,1.33,-u0 + y0,2*a1 + 0.697
13,0.8637539,1.43,-u0 + y0,2*a1 + 0.697
13,0.8637539,1.78,-u0 + y0,2*a1 + 0.697
13,0.8637539,2.07,-u0 + y0,2*a1 + 0.697
13,0.8637539,2.72,-u0 + y0,2*a1 + 0.697
13,0.8637539,y0,-u0 + y0,2*a1 + 0.697
13,0.8637539,y1,-u0 + y0,2*a1 + 0.697
13,0.8637539,a0,-u0 + y0,2*a1 + 0.697
13,0.8637539,a1,-u0 + y0,2*a1 + 0.697
13,0.8637539,u0,-u0 + y0,2*a1 + 0.697
13,0.8637539,r,-u0 + y0,2*a1 + 0.697
