Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,5.552336,-0.535,a1,0.321
5,2.3689945,-a0 + y0,-1.87,a0
5,2.3689945,-a0 + y0,-0.744,a0
5,2.3689945,-a0 + y0,0.0396,a0
5,2.3689945,-a0 + y0,y1,a0
5,2.3689945,-a0 + y0,u0,a0
5,2.3689945,-a0 + y0,r,a0
5,2.3689945,-u0 + y0,-1.31,a0
5,2.3689945,-u0 + y0,-0.952,a0
5,2.3689945,-u0 + y0,-0.766,a0
5,2.3689945,-u0 + y0,-0.206,a0
5,2.3689945,-u0 + y0,1.44,a0
5,2.3689945,-u0 + y0,1.46,a0
5,2.3689945,-u0 + y0,y0,a0
5,2.3689945,-u0 + y0,a0,a0
7,1.8535452,-u0 + y0,y1,2*a0
7,1.8535452,-u0 + y0,a0,2*a0
7,1.8535452,-u0 + y0,a1,2*a0
9,1.5172452,(-a0 + y0)*(u0 + 2.3),-0.709,a0
9,1.5172452,(-a0 + y0)*(u0 + 2.3),-0.385,a0
9,1.5172452,(-a0 + y0)*(u0 + 2.3),-0.197,a0
9,1.5172452,(-a0 + y0)*(u0 + 2.3),0.0271,a0
9,1.5172452,(-a0 + y0)*(u0 + 2.3),y1,a0
9,1.5172452,(-a0 + y0)*(u0 + 2.3),a1,a0
11,1.1842709,-u0 + y0,0.0102,2*a0 + a1 + 0.734
13,1.1379102,-u0 + y0,0.0441*a1,2*a0 + a1 + 0.734
13,1.1379102,-u0 + y0,1.37*a1,2*a0 + a1 + 0.734
19,1.1331843,-u0 + y0,-u0 - 0.76,2*a0 + 1.03
19,1.1331843,-u0 + y0,u0 - 1.49,2*a0 + 1.03
19,1.1331843,-u0 + y0,u0 - 0.89,2*a0 + 1.03
